singular ; oso ; malicioso
singular ; oso ; medroso
singular ; oso ; melindroso
singular ; oso ; memorioso
singular ; oso ; menesteroso
singular ; oso ; mentiroso
singular ; oso ; miedoso
singular ; oso ; mocoso
singular ; oso ; ocioso
singular ; oso ; oloroso
singular ; oso ; orgulloso
singular ; oso ; oso
singular ; oso ; perezoso
singular ; oso ; poderoso
singular ; oso ; poso
singular ; oso ; presuntuoso
singular ; oso ; quisquilloso
singular ; oso ; rabioso
singular ; oso ; raposo
singular ; oso ; religioso
singular ; oso ; reposo
singular ; oso ; revoltoso
singular ; oso ; sospechoso
singular ; oso ; tifoso
singular ; oso ; tramposo
singular ; oso ; tuberculoso
singular ; oso ; vergonzoso
singular ; oso ; vicioso
singular ; oso ; victorioso
singular ; oso ; virtuoso
singular ; oso ; voluptuoso
singular ; oso ; zarrapastroso
plural ; oso ; 
plural ; oso ; cochambrosos
plural ; oso ; desdeñosos
plural ; oso ; facciosos
plural ; oso ; facinerosos
plural ; oso ; famosos
plural ; oso ; gananciosos
plural ; oso ; golosos
plural ; oso ; sarnosos
plural ; oso ; sediciosos
plural ; oso ; ventosos
singular ; opsis ; 
singular ; opsis ; sinopsis
singular ; osa ; 
singular ; osa ; ambiciosa
singular ; osa ; baldosa
singular ; osa ; caprichosa
singular ; osa ; cariñosa
singular ; osa ; celosa
singular ; osa ; celulosa
singular ; osa ; codiciosa
singular ; osa ; cosa
singular ; osa ; curiosa
singular ; osa ; desdeñosa
singular ; osa ; dichosa
singular ; osa ; diosa
singular ; osa ; esposa
singular ; osa ; exesposa
singular ; osa ; fosa
singular ; osa ; fructosa
singular ; osa ; galactosa
singular ; osa ; gaseosa
singular ; osa ; glosa
singular ; osa ; glucosa
singular ; osa ; golosa
singular ; osa ; graciosa
singular ; osa ; insidiosa
